'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.192,0.253,0.061,-0.222,0.065,0.157,-0.041,0.722,0.638,0.475,0.413,0.244
'0:00.001',0.191,0.253,0.063,-0.222,0.064,0.157,-0.038,0.719,0.638,0.475,0.413,0.250
'0:00.002',0.189,0.253,0.064,-0.221,0.063,0.158,-0.034,0.716,0.638,0.475,0.413,0.256
'0:00.003',0.188,0.253,0.066,-0.220,0.061,0.159,-0.031,0.712,0.638,0.475,0.413,0.262
'0:00.004',0.186,0.257,0.071,-0.221,0.058,0.164,-0.034,0.719,0.641,0.478,0.413,0.266
'0:00.005',0.181,0.256,0.075,-0.219,0.053,0.166,-0.031,0.719,0.638,0.475,0.413,0.262
'0:00.006',0.184,0.257,0.073,-0.221,0.056,0.165,-0.031,0.712,0.628,0.472,0.409,0.266
'0:00.007',0.188,0.263,0.075,-0.225,0.056,0.169,-0.031,0.700,0.613,0.469,0.406,0.262
'0:00.008',0.183,0.263,0.079,-0.222,0.052,0.171,-0.031,0.694,0.613,0.466,0.406,0.266
'0:00.009',0.175,0.263,0.088,-0.219,0.044,0.175,-0.031,0.681,0.600,0.462,0.400,0.262
'0:00.010',0.174,0.261,0.088,-0.218,0.043,0.174,-0.031,0.675,0.594,0.453,0.394,0.262
'0:00.011',0.166,0.256,0.091,-0.211,0.038,0.173,-0.031,0.669,0.588,0.444,0.388,0.256
'0:00.012',0.166,0.253,0.088,-0.209,0.039,0.170,-0.034,0.653,0.572,0.431,0.375,0.244
'0:00.013',0.163,0.250,0.088,-0.206,0.038,0.169,-0.031,0.644,0.569,0.425,0.369,0.237
'0:00.014',0.153,0.246,0.093,-0.199,0.030,0.169,-0.025,0.634,0.553,0.422,0.366,0.241
'0:00.015',0.147,0.237,0.091,-0.192,0.028,0.164,-0.019,0.619,0.544,0.419,0.363,0.237
'0:00.016',0.144,0.234,0.091,-0.189,0.026,0.162,-0.019,0.606,0.531,0.406,0.353,0.234
'0:00.017',0.144,0.234,0.091,-0.189,0.026,0.162,-0.019,0.587,0.513,0.388,0.344,0.225
'0:00.018',0.141,0.228,0.088,-0.184,0.026,0.157,-0.016,0.569,0.497,0.375,0.331,0.216
'0:00.019',0.134,0.222,0.088,-0.178,0.023,0.154,-0.006,0.550,0.475,0.363,0.319,0.212
'0:00.020',0.127,0.220,0.093,-0.173,0.017,0.156,-0.006,0.537,0.459,0.353,0.306,0.200
'0:00.021',0.122,0.219,0.097,-0.170,0.013,0.157,-0.006,0.519,0.438,0.337,0.294,0.194
'0:00.022',0.122,0.212,0.091,-0.167,0.016,0.151,-0.006,0.500,0.425,0.322,0.281,0.184
'0:00.023',0.122,0.206,0.084,-0.164,0.019,0.145,-0.006,0.487,0.413,0.306,0.275,0.181
'0:00.024',0.116,0.200,0.084,-0.158,0.016,0.142,-0.003,0.469,0.397,0.300,0.266,0.172
'0:00.025',0.103,0.187,0.084,-0.145,0.009,0.136,0.000,0.456,0.388,0.294,0.256,0.162
'0:00.026',0.104,0.178,0.074,-0.141,0.015,0.126,-0.003,0.438,0.363,0.278,0.241,0.153
'0:00.027',0.103,0.172,0.069,-0.137,0.017,0.120,0.000,0.419,0.344,0.262,0.225,0.150
'0:00.028',0.099,0.161,0.063,-0.130,0.018,0.112,0.003,0.403,0.331,0.247,0.213,0.141
'0:00.029',0.091,0.153,0.063,-0.122,0.014,0.107,0.006,0.388,0.313,0.231,0.200,0.137
'0:00.030',0.084,0.147,0.063,-0.116,0.011,0.104,0.009,0.372,0.297,0.216,0.194,0.125
'0:00.031',0.081,0.141,0.059,-0.111,0.011,0.100,0.012,0.350,0.275,0.200,0.175,0.112
'0:00.032',0.083,0.134,0.052,-0.108,0.015,0.093,0.016,0.334,0.266,0.191,0.162,0.103
'0:00.033',0.081,0.128,0.047,-0.104,0.017,0.087,0.019,0.319,0.250,0.175,0.150,0.094
'0:00.034',0.074,0.121,0.047,-0.097,0.013,0.084,0.025,0.306,0.238,0.163,0.141,0.091
'0:00.035',0.069,0.116,0.047,-0.092,0.011,0.081,0.025,0.288,0.225,0.150,0.131,0.087
'0:00.036',0.056,0.109,0.053,-0.082,0.001,0.081,0.025,0.275,0.203,0.137,0.116,0.075
'0:00.037',0.047,0.103,0.056,-0.075,-0.005,0.079,0.025,0.256,0.188,0.131,0.106,0.069
'0:00.038',0.039,0.091,0.051,-0.065,-0.006,0.071,0.028,0.241,0.175,0.112,0.097,0.066
'0:00.039',0.028,0.078,0.050,-0.053,-0.011,0.064,0.037,0.225,0.156,0.100,0.087,0.062
'0:00.040',0.025,0.071,0.046,-0.047,-0.011,0.058,0.037,0.216,0.144,0.091,0.081,0.050
'0:00.041',0.025,0.062,0.037,-0.044,-0.006,0.050,0.037,0.200,0.125,0.081,0.069,0.037
'0:00.042',0.026,0.058,0.032,-0.042,-0.003,0.045,0.037,0.181,0.116,0.066,0.053,0.031
'0:00.043',0.025,0.050,0.025,-0.038,0.000,0.037,0.037,0.169,0.100,0.056,0.044,0.025
'0:00.044',0.018,0.047,0.029,-0.032,-0.006,0.038,0.034,0.159,0.088,0.047,0.028,0.022
'0:00.045',0.012,0.041,0.028,-0.026,-0.008,0.034,0.031,0.144,0.075,0.037,0.019,0.012
'0:00.046',0.009,0.031,0.022,-0.020,-0.006,0.026,0.037,0.131,0.056,0.025,0.019,0.003
